,Institution Name,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
150,University of New Mexico-Main Campus,29.0,22.0,19.0,16.0,15.0,15.0,15.0,12.0,12.0,12.0,10.0,11.0,12.0,12.0,10.0,11.0
151,University of New Orleans,25.0,18.0,14.0,15.0,15.0,13.0,13.0,10.0,17.0,5.0,5.0,5.0,7.0,7.0,6.0,5.0
152,University of North Carolina at Chapel Hill,84.0,82.0,84.0,84.0,81.0,80.0,81.0,76.0,75.0,75.0,72.0,73.0,71.0,71.0,71.0,67.0
153,University of North Carolina at Charlotte,37.0,32.0,29.0,29.0,26.0,25.0,26.0,26.0,26.0,27.0,25.0,24.0,26.0,26.0,24.0,21.0
154,University of North Carolina at Greensboro,38.0,32.0,30.0,30.0,32.0,31.0,30.0,29.0,28.0,29.0,28.0,28.0,27.0,30.0,28.0,26.0
155,University of North Carolina Wilmington,56.0,53.0,54.0,53.0,50.0,49.0,52.0,49.0,44.0,44.0,44.0,45.0,42.0,43.0,41.0,37.0
156,University of North Dakota,32.0,28.0,26.0,25.0,24.0,23.0,24.0,23.0,23.0,21.0,23.0,22.0,22.0,22.0,23.0,22.0
157,University of North Texas,35.0,30.0,29.0,29.0,27.0,26.0,25.0,22.0,21.0,19.0,19.0,18.0,17.0,18.0,15.0,15.0
158,University of Oklahoma-Norman Campus,44.0,42.0,41.0,40.0,38.0,37.0,35.0,36.0,35.0,32.0,29.0,26.0,25.0,24.0,19.0,20.0
159,University of Oregon,56.0,53.0,52.0,50.0,50.0,45.0,44.0,44.0,41.0,44.0,46.0,41.0,41.0,39.0,38.0,36.0
160,University of Pittsburgh-Pittsburgh Campus,65.0,65.0,65.0,64.0,64.0,65.0,64.0,62.0,61.0,61.0,57.0,57.0,55.0,52.0,46.0,44.0
161,University of Puerto Rico-Rio Piedras,10.0,15.0,18.0,17.0,13.0,17.0,18.0,0.0,22.0,13.0,12.0,10.0,11.0,13.0,12.0,12.0
162,University of Rhode Island,52.0,49.0,47.0,42.0,44.0,39.0,41.0,42.0,41.0,42.0,39.0,40.0,38.0,40.0,36.0,35.0
163,University of South Alabama,25.0,22.0,19.0,16.0,14.0,15.0,14.0,14.0,17.0,14.0,13.0,14.0,15.0,16.0,14.0,14.0
164,University of South Carolina-Columbia,64.0,62.0,58.0,54.0,55.0,56.0,54.0,53.0,51.0,46.0,46.0,44.0,40.0,40.0,41.0,40.0
165,University of South Dakota,42.0,40.0,39.0,34.0,33.0,32.0,30.0,23.0,25.0,25.0,20.0,20.0,22.0,23.0,21.0,21.0
166,University of South Florida,60.0,55.0,51.0,44.0,43.0,39.0,36.0,29.0,25.0,24.0,21.0,21.0,20.0,22.0,22.0,21.0
167,University of Southern Mississippi,28.0,27.0,26.0,23.0,27.0,25.0,21.0,2.0,22.0,22.0,21.0,21.0,21.0,24.0,23.0,23.0
168,University of Toledo,28.0,24.0,22.0,22.0,20.0,22.0,23.0,22.0,24.0,23.0,23.0,23.0,22.0,17.0,13.0,12.0
169,University of Utah,33.0,32.0,31.0,29.0,28.0,24.0,24.0,22.0,21.0,23.0,22.0,20.0,21.0,21.0,15.0,21.0
170,University of Vermont,65.0,65.0,62.0,62.0,66.0,66.0,65.0,65.0,57.0,61.0,57.0,55.0,56.0,52.0,49.0,50.0
171,University of Virginia-Main Campus,89.0,89.0,88.0,88.0,87.0,87.0,86.0,87.0,87.0,85.0,84.0,85.0,84.0,83.0,84.0,83.0
172,University of Washington-Seattle Campus,66.0,67.0,65.0,65.0,63.0,61.0,57.0,56.0,59.0,54.0,54.0,51.0,48.0,48.0,46.0,42.0
173,University of Wisconsin-Madison,62.0,61.0,60.0,56.0,56.0,55.0,55.0,53.0,52.0,50.0,48.0,50.0,46.0,44.0,41.0,39.0
174,University of Wisconsin-Milwaukee,19.0,18.0,15.0,14.0,14.0,14.0,13.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,13.0,11.0
175,University of Wyoming,31.0,27.0,26.0,27.0,26.0,24.0,24.0,23.0,23.0,22.0,22.0,23.0,26.0,26.0,29.0,25.0
176,Utah State University,28.0,21.0,18.0,23.0,23.0,23.0,25.0,25.0,26.0,27.0,27.0,28.0,20.0,22.0,21.0,19.0
177,Virginia Commonwealth University,45.0,44.0,39.0,36.0,37.0,34.0,30.0,30.0,26.0,23.0,24.0,24.0,20.0,20.0,21.0,17.0
178,Virginia Polytechnic Institute and State University,65.0,63.0,63.0,61.0,62.0,61.0,61.0,59.0,56.0,53.0,53.0,52.0,51.0,52.0,47.0,44.0
179,Washington State University,37.0,35.0,38.0,41.0,38.0,42.0,40.0,39.0,38.0,40.0,40.0,37.0,33.0,33.0,32.0,30.0
180,Wayne State University,20.0,18.0,19.0,13.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,13.0,13.0,7.0,7.0
181,West Virginia University,39.0,36.0,35.0,32.0,33.0,33.0,34.0,34.0,32.0,33.0,32.0,30.0,26.0,26.0,25.0,25.0
